approval_id,created_at,issue_type,route_name,severity,approval_required,approval_status,top_score,user_issue,report_path,reviewer,reviewed_at,review_comment
APV-20260616-161523,2026-06-16 16:15:34,제품품질,제품품질 전용 흐름,긴급,필요,승인,0.6536,"고객이 제품 사용 중 배터리 과열로 화상 위험을 느꼈고, 같은 문제가 여러 고객에게 반복될 수 있다고 주장했습니다.",reports/langgraph_issue_report_2026-06-16_16-15.txt,CS 운영 담당자,2026-06-16 16:26:06,내용 확인 후 처리합니다.
APV-20260616-162102,2026-06-16 16:21:11,배송/물류,배송/물류 전용 흐름,높음,필요,승인,0.6299,"고객이 배송받은 제품이 주문한 옵션과 다르고, 포장도 찢어진 상태였다고 문의했습니다. 교환 절차와 담당 부서를 확인해 주세요.",reports/langgraph_issue_report_2026-06-16_16-21.txt,CS 운영 담당자,2026-06-16 16:32:56,내용 확인 후 처리합니다.
APV-20260616-162125,2026-06-16 16:21:37,제품품질,제품품질 전용 흐름,긴급,필요,승인,0.6536,"고객이 제품 사용 중 배터리 과열로 화상 위험을 느꼈고, 같은 문제가 여러 고객에게 반복될 수 있다고 주장했습니다.",reports/langgraph_issue_report_2026-06-16_16-21.txt,CS 운영 담당자,2026-06-16 16:35:16,내용 확인 후 처리합니다.
APV-20260616-162543,2026-06-16 16:25:51,제품품질,제품품질 전용 흐름,긴급,필요,승인,0.6536,"고객이 제품 사용 중 배터리 과열로 화상 위험을 느꼈고, 같은 문제가 여러 고객에게 반복될 수 있다고 주장했습니다.",reports/langgraph_issue_report_2026-06-16_16-25.txt,CS 운영 담당자,2026-06-16 16:35:19,내용 확인 후 처리합니다.
APV-20260616-163629,2026-06-16 16:36:37,고객서비스,고객서비스 전용 흐름,높음,필요,반려,0.6188,고객이 상담 연결까지 너무 오래 기다렸고 AS 진행 상황 안내를 받지 못했다고 문의했습니다.,reports/langgraph_issue_report_2026-06-16_16-36.txt,CS 운영 담당자,2026-06-16 16:36:48,근거와 안내 문구를 보완한 뒤 재검토가 필요합니다.
APV-20260616-164230,2026-06-16 16:42:36,고객서비스,고객서비스 전용 흐름,높음,필요,승인,0.6188,고객이 상담 연결까지 너무 오래 기다렸고 AS 진행 상황 안내를 받지 못했다고 문의했습니다.,reports/langgraph_issue_report_2026-06-16_16-42.txt,CS 운영 담당자,2026-06-16 16:43:53,내용 확인 후 처리합니다.
APV-20260616-164632,2026-06-16 16:46:39,교환/환불,교환/환불 전용 흐름,높음,필요,반려,0.6171,"고객이 제품이 마음에 들지 않아 환불을 요청했고, 교환 절차가 너무 복잡하다고 불만을 제기했습니다.",reports/langgraph_issue_report_2026-06-16_16-46.txt,CS 운영 담당자,2026-06-16 16:47:16,근거와 안내 문구를 보완한 뒤 재검토가 필요합니다.
APV-20260616-165800,2026-06-16 16:58:05,교환/환불,교환/환불 전용 흐름,높음,필요,승인,0.6176,"고객이 제품이 마음에 들지 않아 환불을 요청했고, 교환 절차가 너무 복잡하다고 불만을 제기했습니다.",reports/langgraph_issue_report_2026-06-16_16-58.txt,CS 운영 담당자,2026-06-16 16:58:14,내용 확인 후 처리합니다.
APV-20260616-170251,2026-06-16 17:02:57,제품품질,제품품질 전용 흐름,높음,필요,승인,0.6257,고객이 제품 사용 첫날부터 배터리가 너무 빨리 닳고 손잡이에 스크래치가 있다고 문의했습니다.,reports/langgraph_issue_report_2026-06-16_17-02.txt,CS 운영 담당자,2026-06-16 17:03:07,내용 확인 후 처리합니다.
APV-20260617-102523,2026-06-17 10:25:34,제품품질,제품품질 전용 흐름,높음,필요,반려,0.6257,고객이 제품 사용 첫날부터 배터리가 너무 빨리 닳고 손잡이에 스크래치가 있다고 문의했습니다.,reports/langgraph_issue_report_2026-06-17_10-25.txt,CS 운영 담당자,2026-06-17 10:25:56,근거와 안내 문구를 보완한 뒤 재검토가 필요합니다.
